Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB55102010LM,Nasdaq US Iron and Steel Large Mid Cap Index,NQUSB55,Iron and Steel,"NQUSB55,NQUSB5510,NQUSB551020,NQUSB55102010",
NQUSB551030LM,Nasdaq US Precious Metals and Mining Large Mid Cap Index,NQUSB55,Precious Metals and Mining,"NQUSB55,NQUSB5510,NQUSB551030",
NQUSB50LM,Nasdaq US Industrials Large Mid Cap Index,SECTOR,Industrials,NQUSB50,
NQUSB5010LM,Nasdaq US Construction and Materials Large Mid Cap Index,NQUSB50,Construction and Materials,"NQUSB50,NQUSB5010",
NQUSB50101035LM,Nasdaq US Building Materials: Other Large Mid Cap Index,NQUSB50,Building Materials: Other,"NQUSB50,NQUSB5010,NQUSB50101035",
NQUSB5020LM,Nasdaq US Industrial Goods and Services Large Mid Cap Index,NQUSB50,Industrial Goods and Services,"NQUSB50,NQUSB5020",
NQUSB502010LM,Nasdaq US Aerospace and Defense Large Mid Cap Index,NQUSB50,Aerospace and Defense,"NQUSB50,NQUSB5020,NQUSB502010",
NQUSB50201010LM,Nasdaq US Aerospace Large Mid Cap Index,NQUSB50,Aerospace,"NQUSB50,NQUSB5020,NQUSB502010,NQUSB50201010",
NQUSB50201020LM,Nasdaq US Defense Large Mid Cap Index,NQUSB50,Defense,"NQUSB50,NQUSB5020,NQUSB502010,NQUSB50201020",
NQUSB502030LM,Nasdaq US General Industrials Large Mid Cap Index,NQUSB50,General Industrials,"NQUSB50,NQUSB5020,NQUSB502030",
NQUSB50203030LM,Nasdaq US Containers and Packaging Large Mid Cap Index,NQUSB50,Containers and Packaging,"NQUSB50,NQUSB5020,NQUSB502030,NQUSB50203030",
NQUSB50203000LM,Nasdaq US Diversified Industrials Large Mid Cap Index,NQUSB50,Diversified Industrials,"NQUSB50,NQUSB5020,NQUSB502030,NQUSB50203000",
NQUSB502020LM,Nasdaq US Electronic and Electrical Equipment Large Mid Cap Index,NQUSB50,Electronic and Electrical Equipment,"NQUSB50,NQUSB5020,NQUSB502020",
NQUSB10102015LM,Nasdaq US Electronic Components Large Mid Cap Index,NQUSB10,Electronic Components,"NQUSB10,NQUSB101020,NQUSB10102015",
NQUSB50202025LM,Nasdaq US Electronic Equipment: Gauges and Meters Large Mid Cap Index,NQUSB50,Electronic Equipment: Gauges and Meters,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202025",
NQUSB502040LM,Nasdaq US Industrial Engineering Large Mid Cap Index,NQUSB50,Industrial Engineering,"NQUSB50,NQUSB5020,NQUSB502040",
NQUSB50206015LM,Nasdaq US Commercial Vehicles and Parts Large Mid Cap Index,NQUSB50,Commercial Vehicles and Parts,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206015",
NQUSB50204000LM,Nasdaq US Machinery: Industrial Large Mid Cap Index,NQUSB50,Machinery: Industrial,"NQUSB50,NQUSB5020,NQUSB502040,NQUSB50204000",
NQUSB502060LM,Nasdaq US Industrial Transportation Large Mid Cap Index,NQUSB50,Industrial Transportation,"NQUSB50,NQUSB5020,NQUSB502060",
NQUSB50206020LM,Nasdaq US Railroads Large Mid Cap Index,NQUSB50,Railroads,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206020",
NQUSB50206060LM,Nasdaq US Transportation Services Large Mid Cap Index,NQUSB50,Transportation Services,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206060",
NQUSB50206010LM,Nasdaq US Trucking Large Mid Cap Index,NQUSB50,Trucking,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206010",
NQUSB502050LM,Nasdaq US Industrial Support Services Large Mid Cap Index,NQUSB50,Industrial Support Services,"NQUSB50,NQUSB5020,NQUSB502050",
NQUSB50205020LM,Nasdaq US Professional Business Support Services Large Mid Cap Index,NQUSB50,Professional Business Support Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205020",
NQUSB50205015LM,Nasdaq US Transaction Processing Services Large Mid Cap Index,NQUSB50,Transaction Processing Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205015",
NQUSB50205010LM,Nasdaq US Industrial Suppliers Large Mid Cap Index,NQUSB50,Industrial Suppliers,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205010",
NQUSB651030LM,Nasdaq US Waste and Disposal Services Large Mid Cap Index,NQUSB65,Waste and Disposal Services,"NQUSB65,NQUSB651030",
NQUSB4010LM,Nasdaq US Automobiles and Parts Large Mid Cap Index,NQUSB40,Automobiles and Parts,"NQUSB40,NQUSB4010",
NQUSB40101020LM,Nasdaq US Automobiles Large Mid Cap Index,NQUSB40,Automobiles,"NQUSB40,NQUSB4010,NQUSB40101020",
NQUSB40101025LM,Nasdaq US Auto Parts Large Mid Cap Index,NQUSB40,Auto Parts,"NQUSB40,NQUSB4010,NQUSB40101025",
NQUSB4510LM,"Nasdaq US Food, Beverage and Tobacco Large Mid Cap Index",NQUSB45,"Food, Beverage and Tobacco","NQUSB45,NQUSB4510",
NQUSB451010LM,Nasdaq US Beverages Large Mid Cap Index,NQUSB45,Beverages,"NQUSB45,NQUSB4510,NQUSB451010",
NQUSB45101020LM,Nasdaq US Soft Drinks Large Mid Cap Index,NQUSB45,Soft Drinks,"NQUSB45,NQUSB4510,NQUSB451010,NQUSB45101020",
NQUSB451020LM,Nasdaq US Food Producers Large Mid Cap Index,NQUSB45,Food Producers,"NQUSB45,NQUSB4510,NQUSB451020",
NQUSB45102020LM,Nasdaq US Food Products Large Mid Cap Index,NQUSB45,Food Products,"NQUSB45,NQUSB4510,NQUSB451020,NQUSB45102020",
NQUSB4020LM,Nasdaq US Consumer Products and Services Large Mid Cap Index,NQUSB40,Consumer Products and Services,"NQUSB40,NQUSB4020",
NQUSB402020LM,Nasdaq US Household Goods and Home Construction Large Mid Cap Index,NQUSB40,Household Goods and Home Construction,"NQUSB40,NQUSB4020,NQUSB402020",
NQUSB45201030LM,Nasdaq US Nondurable Household Products Large Mid Cap Index,NQUSB45,Nondurable Household Products,"NQUSB45,NQUSB4520,NQUSB45201030",
NQUSB40202015LM,Nasdaq US Household Furnishings Large Mid Cap Index,NQUSB40,Household Furnishings,"NQUSB40,NQUSB4020,NQUSB402020,NQUSB40202015",
NQUSB40202010LM,Nasdaq US Home Construction Large Mid Cap Index,NQUSB40,Home Construction,"NQUSB40,NQUSB4020,NQUSB402020,NQUSB40202010",
NQUSB402030LM,Nasdaq US Leisure Goods Large Mid Cap Index,NQUSB40,Leisure Goods,"NQUSB40,NQUSB4020,NQUSB402030",
NQUSB40203050LM,Nasdaq US Recreational Products Large Mid Cap Index,NQUSB40,Recreational Products,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203050",
NQUSB40203045LM,Nasdaq US Toys Large Mid Cap Index,NQUSB40,Toys,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203045",
NQUSB402040LM,Nasdaq US Personal Goods Large Mid Cap Index,NQUSB40,Personal Goods,"NQUSB40,NQUSB4020,NQUSB402040",
NQUSB40204020LM,Nasdaq US Clothing and Accessories Large Mid Cap Index,NQUSB40,Clothing and Accessories,"NQUSB40,NQUSB4020,NQUSB402040,NQUSB40204020",
NQUSB45201020LM,Nasdaq US Personal Products Large Mid Cap Index,NQUSB45,Personal Products,"NQUSB45,NQUSB4520,NQUSB45201020",
NQUSB20LM,Nasdaq US Health Care Large Mid Cap Index,SECTOR,Health Care,NQUSB20,
NQUSB201020LM,Nasdaq US Medical Equipment and Services Large Mid Cap Index,NQUSB20,Medical Equipment and Services,"NQUSB20,NQUSB201020",
NQUSB20101020LM,Nasdaq US Health Care Management Services Large Mid Cap Index,NQUSB20,Health Care Management Services,"NQUSB20,NQUSB201010,NQUSB20101020",
NQUSB20102010LM,Nasdaq US Medical Equipment Large Mid Cap Index,NQUSB20,Medical Equipment,"NQUSB20,NQUSB201020,NQUSB20102010",
NQUSB20102015LM,Nasdaq US Medical Supplies Large Mid Cap Index,NQUSB20,Medical Supplies,"NQUSB20,NQUSB201020,NQUSB20102015",
NQUSB201030LM,Nasdaq US Pharmaceuticals and Biotechnology Large Mid Cap Index,NQUSB20,Pharmaceuticals and Biotechnology,"NQUSB20,NQUSB201030",
NQUSB20103010LM,Nasdaq US Biotechnology Large Mid Cap Index,NQUSB20,Biotechnology,"NQUSB20,NQUSB201030,NQUSB20103010",
NQUSB20103015LM,Nasdaq US Pharmaceuticals Large Mid Cap Index,NQUSB20,Pharmaceuticals,"NQUSB20,NQUSB201030,NQUSB20103015",
NQUSB4040LM,Nasdaq US Retail Large Mid Cap Index,NQUSB40,Retail,"NQUSB40,NQUSB4040",
NQUSB45201015LM,Nasdaq US Drug Retailers Large Mid Cap Index,NQUSB45,Drug Retailers,"NQUSB45,NQUSB4520,NQUSB45201015",
NQUSB45201010LM,Nasdaq US Food Retailers and Wholesalers Large Mid Cap Index,NQUSB45,Food Retailers and Wholesalers,"NQUSB45,NQUSB4520,NQUSB45201010",
NQUSB404010LM,Nasdaq US Retailers Large Mid Cap Index,NQUSB40,Retailers,"NQUSB40,NQUSB4040,NQUSB404010",
NQUSB40401020LM,Nasdaq US Apparel Retailers Large Mid Cap Index,NQUSB40,Apparel Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401020",
NQUSB40401010LM,Nasdaq US Broadline Diversified Retailers Large Mid Cap Index,NQUSB40,Broadline Diversified Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401010",
NQUSB40201070LM,Nasdaq US Consumer Services: Misc. Large Mid Cap Index,NQUSB40,Consumer Services: Misc.,"NQUSB40,NQUSB4020,NQUSB402010,NQUSB40201070",
NQUSB40401030LM,Nasdaq US Specialty Retailers Large Mid Cap Index,NQUSB40,Specialty Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401030",
NQUSB4030LM,Nasdaq US Media Large Mid Cap Index,NQUSB40,Media,"NQUSB40,NQUSB4030",
NQUSB15102010LM,Nasdaq US Cable Television Services Large Mid Cap Index,NQUSB15,Cable Television Services,"NQUSB15,NQUSB151020,NQUSB15102010",
NQUSB40301020LM,Nasdaq US Media Agencies Large Mid Cap Index,NQUSB40,Media Agencies,"NQUSB40,NQUSB4030,NQUSB40301020",
NQUSB40301030LM,Nasdaq US Publishing Large Mid Cap Index,NQUSB40,Publishing,"NQUSB40,NQUSB4030,NQUSB40301030",
NQUSB4050LM,Nasdaq US Travel and Leisure Large Mid Cap Index,NQUSB40,Travel and Leisure,"NQUSB40,NQUSB4050",
NQUSB40501010LM,Nasdaq US Airlines Large Mid Cap Index,NQUSB40,Airlines,"NQUSB40,NQUSB4050,NQUSB40501010",
NQUSB40501020LM,Nasdaq US Casinos and Gambling Large Mid Cap Index,NQUSB40,Casinos and Gambling,"NQUSB40,NQUSB4050,NQUSB40501020",
NQUSB40501025LM,Nasdaq US Hotels and Motels Large Mid Cap Index,NQUSB40,Hotels and Motels,"NQUSB40,NQUSB4050,NQUSB40501025",
NQUSB40501030LM,Nasdaq US Recreational Services Large Mid Cap Index,NQUSB40,Recreational Services,"NQUSB40,NQUSB4050,NQUSB40501030",
NQUSB40501040LM,Nasdaq US Restaurants and Bars Large Mid Cap Index,NQUSB40,Restaurants and Bars,"NQUSB40,NQUSB4050,NQUSB40501040",
NQUSB40501015LM,Nasdaq US Travel and Tourism Large Mid Cap Index,NQUSB40,Travel and Tourism,"NQUSB40,NQUSB4050,NQUSB40501015",
NQUSB15LM,Nasdaq US Telecommunications Large Mid Cap Index,SECTOR,Telecommunications,NQUSB15,
NQUSB151020LM,Nasdaq US Telecommunications Service Provider Large Mid Cap Index,NQUSB15,Telecommunications Service Provider,"NQUSB15,NQUSB151020",
NQUSB65LM,Nasdaq US Utilities Large Mid Cap Index,SECTOR,Utilities,NQUSB65,
NQUSB651010LM,Nasdaq US Electricity Large Mid Cap Index,NQUSB65,Electricity,"NQUSB65,NQUSB651010",
NQUSB65101015LM,Nasdaq US Conventional Electricity Large Mid Cap Index,NQUSB65,Conventional Electricity,"NQUSB65,NQUSB651010,NQUSB65101015",
NQUSB651020LM,"Nasdaq US Gas, Water and Multi-utilities Large Mid Cap Index",NQUSB65,"Gas, Water and Multi-utilities","NQUSB65,NQUSB651020",
NQUSB65102020LM,Nasdaq US Gas Distribution Large Mid Cap Index,NQUSB65,Gas Distribution,"NQUSB65,NQUSB651020,NQUSB65102020",
NQUSB65102000LM,Nasdaq US Multi-utilities Large Mid Cap Index,NQUSB65,Multi-utilities,"NQUSB65,NQUSB651020,NQUSB65102000",
NQUSB30LM,Nasdaq US Financials Large Mid Cap Index,SECTOR,Financials,NQUSB30,
NQUSB3010LM,Nasdaq US Banks Large Mid Cap Index,NQUSB30,Banks,"NQUSB30,NQUSB3010",
NQUSB3030LM,Nasdaq US Insurance Large Mid Cap Index,NQUSB30,Insurance,"NQUSB30,NQUSB3030",
NQUSB303020LM,Nasdaq US Non-life Insurance Large Mid Cap Index,NQUSB30,Non-life Insurance,"NQUSB30,NQUSB3030,NQUSB303020",
NQUSB30302010LM,Nasdaq US Full Line Insurance Large Mid Cap Index,NQUSB30,Full Line Insurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302010",
NQUSB30302025LM,Nasdaq US Property and Casualty Insurance Large Mid Cap Index,NQUSB30,Property and Casualty Insurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302025",
NQUSB30302020LM,Nasdaq US Reinsurance Large Mid Cap Index,NQUSB30,Reinsurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302020",
NQUSB303010LM,Nasdaq US Life Insurance Large Mid Cap Index,NQUSB30,Life Insurance,"NQUSB30,NQUSB3030,NQUSB303010",
NQUSB35LM,Nasdaq US Real Estate Large Mid Cap Index,SECTOR,Real Estate,NQUSB35,
NQUSB351010LM,Nasdaq US Real Estate Investment and Services Large Mid Cap Index,NQUSB35,Real Estate Investment and Services,"NQUSB35,NQUSB351010",
NQUSB35101015LM,Nasdaq US Real Estate Services Large Mid Cap Index,NQUSB35,Real Estate Services,"NQUSB35,NQUSB351010,NQUSB35101015",
NQUSB351020LM,Nasdaq US Real Estate Investment Trusts Large Mid Cap Index,NQUSB35,Real Estate Investment Trusts,"NQUSB35,NQUSB351020",
NQUSB35102030LM,Nasdaq US Office REITs Large Mid Cap Index,NQUSB35,Office REITs,"NQUSB35,NQUSB351020,NQUSB35102030",
NQUSB35102045LM,Nasdaq US Retail REITs Large Mid Cap Index,NQUSB35,Retail REITs,"NQUSB35,NQUSB351020,NQUSB35102045",
NQUSB35102040LM,Nasdaq US Residential REITs Large Mid Cap Index,NQUSB35,Residential REITs,"NQUSB35,NQUSB351020,NQUSB35102040",
NQUSB35102070LM,Nasdaq US Other Specialty REITs Large Mid Cap Index,NQUSB35,Other Specialty REITs,"NQUSB35,NQUSB351020,NQUSB35102070",
NQUSB30203020LM,Nasdaq US Mortgage REITs: Residential Large Mid Cap Index,NQUSB30,Mortgage REITs: Residential,"NQUSB30,NQUSB3020,NQUSB302030,NQUSB30203020",
NQUSB35102015LM,Nasdaq US Hotel and Lodging REITs Large Mid Cap Index,NQUSB35,Hotel and Lodging REITs,"NQUSB35,NQUSB351020,NQUSB35102015",
NQUSB3020LM,Nasdaq US Financial Services Large Mid Cap Index,NQUSB30,Financial Services,"NQUSB30,NQUSB3020",
NQUSB302020LM,Nasdaq US Investment Banking and Brokerage Services Large Mid Cap Index,NQUSB30,Investment Banking and Brokerage Services,"NQUSB30,NQUSB3020,NQUSB302020",
NQUSB30202010LM,Nasdaq US Asset Managers and Custodians Large Mid Cap Index,NQUSB30,Asset Managers and Custodians,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202010",
NQUSB30201020LM,Nasdaq US Consumer Lending Large Mid Cap Index,NQUSB30,Consumer Lending,"NQUSB30,NQUSB3020,NQUSB302010,NQUSB30201020",
NQUSB30202000LM,Nasdaq US Diversified Financial Services Large Mid Cap Index,NQUSB30,Diversified Financial Services,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202000",
NQUSB30202015LM,Nasdaq US Investment Services Large Mid Cap Index,NQUSB30,Investment Services,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202015",
NQUSB10LM,Nasdaq US Technology Large Mid Cap Index,SECTOR,Technology,NQUSB10,
NQUSB101010LM,Nasdaq US Software and Computer Services Large Mid Cap Index,NQUSB10,Software and Computer Services,"NQUSB10,NQUSB101010",
NQUSB10101010LM,Nasdaq US Computer Services Large Mid Cap Index,NQUSB10,Computer Services,"NQUSB10,NQUSB101010,NQUSB10101010",
NQUSB10101020LM,Nasdaq US Consumer Digital Services Large Mid Cap Index,NQUSB10,Consumer Digital Services,"NQUSB10,NQUSB101010,NQUSB10101020",
NQUSB10101015LM,Nasdaq US Software Large Mid Cap Index,NQUSB10,Software,"NQUSB10,NQUSB101010,NQUSB10101015",
NQUSB101020LM,Nasdaq US Technology Hardware and Equipment Large Mid Cap Index,NQUSB10,Technology Hardware and Equipment,"NQUSB10,NQUSB101020",
NQUSB10102030LM,Nasdaq US Computer Hardware Large Mid Cap Index,NQUSB10,Computer Hardware,"NQUSB10,NQUSB101020,NQUSB10102030",
NQUSB10102010LM,Nasdaq US Semiconductors Large Mid Cap Index,NQUSB10,Semiconductors,"NQUSB10,NQUSB101020,NQUSB10102010",
NQUSB151010LM,Nasdaq US Telecommunications Equipment Large Mid Cap Index,NQUSB15,Telecommunications Equipment,"NQUSB15,NQUSB151010",
NQUSBLM,NASDAQ US  Large Mid Cap Index,,,NQUSBLM,
NQUSB40,Nasdaq US Benchmark Consumer Discretionary Index,SECTOR,Consumer Discretionary,NQUSB40,"NQUSB4010,NQUSB4020,NQUSB4040,NQUSB4030,NQUSB4050"
NQUSB40LM,Nasdaq US Consumer Discretionary Large Mid Cap Index,SECTOR,Consumer Discretionary,NQUSB40,
NQUSB45,Nasdaq US Benchmark Consumer Staples Index,SECTOR,Consumer Staples,NQUSB45,"NQUSB4510,NQUSB4520"
NQUSB45LM,Nasdaq US Consumer Staples Large Mid Cap Index,SECTOR,Consumer Staples,NQUSB45,
NQUSB4520,"Nasdaq US Benchmark Personal Care, Drug and Grocery Stores Index",NQUSB45,"Personal Care, Drug and Grocery Stores","NQUSB45,NQUSB4520","NQUSB45201030,NQUSB45201020,NQUSB45201015,NQUSB45201010"
NQUSB4520LM,"Nasdaq US  Personal Care, Drug and Grocery Stores Large Mid Cap Index",NQUSB45,"Personal Care, Drug and Grocery Stores","NQUSB45,NQUSB4520",
NQUSB201010,Nasdaq US Benchmark Health Care Providers Index,NQUSB20,Health Care Providers,"NQUSB20,NQUSB201010","NQUSB20101020,NQUSB20101010,NQUSB20101025"
NQUSB201010LM,Nasdaq US Health Care Providers Large Mid Cap Index,NQUSB20,Health Care Providers,"NQUSB20,NQUSB201010",
NQUSB302030,Nasdaq US Benchmark Mortgage Real Estate Investment Trusts Index,NQUSB30,Mortgage Real Estate Investment Trusts,"NQUSB30,NQUSB3020,NQUSB302030","NQUSB30203020,NQUSB30203000,NQUSB30203010"
NQUSB302030LM,Nasdaq US Mortgage Real Estate Investment Trusts Large Mid Cap Index,NQUSB30,Mortgage Real Estate Investment Trusts,"NQUSB30,NQUSB3020,NQUSB302030",
NQUSB402010,Nasdaq US Benchmark Consumer Services Index,NQUSB40,Consumer Services,"NQUSB40,NQUSB4020,NQUSB402010","NQUSB40201070,NQUSB40201010,NQUSB40201040"
NQUSB402010LM,Nasdaq US Consumer Services Large Mid Cap Index,NQUSB40,Consumer Services,"NQUSB40,NQUSB4020,NQUSB402010",
NQUSB302010,Nasdaq US Benchmark Finance and Credit Services Index,NQUSB30,Finance and Credit Services,"NQUSB30,NQUSB3020,NQUSB302010","NQUSB30201020,NQUSB30201025,NQUSB30201030"
NQUSB302010LM,Nasdaq US Finance and Credit Services Large Mid Cap Index,NQUSB30,Finance and Credit Services,"NQUSB30,NQUSB3020,NQUSB302010",
NQUSB10102020,Nasdaq US Benchmark Production Technology Equipment Index,NQUSB10,Production Technology Equipment,"NQUSB10,NQUSB101020,NQUSB10102020",
NQUSB10102020LM,Nasdaq US Production Technology Equipment Large Mid Cap Index,NQUSB10,Production Technology Equipment,"NQUSB10,NQUSB101020,NQUSB10102020",
NQUSB20101010,Nasdaq US Benchmark Health Care Facilities Index,NQUSB20,Health Care Facilities,"NQUSB20,NQUSB201010,NQUSB20101010",
NQUSB20101010LM,Nasdaq US Health Care Facilities Large Mid Cap Index,NQUSB20,Health Care Facilities,"NQUSB20,NQUSB201010,NQUSB20101010",
NQUSB20101025,Nasdaq US Benchmark Health Care Services Index,NQUSB20,Health Care Services,"NQUSB20,NQUSB201010,NQUSB20101025",
NQUSB20101025LM,Nasdaq US Health Care Services Large Mid Cap Index,NQUSB20,Health Care Services,"NQUSB20,NQUSB201010,NQUSB20101025",
NQUSB20102020,Nasdaq US Benchmark Medical Services Index,NQUSB20,Medical Services,"NQUSB20,NQUSB201020,NQUSB20102020",
NQUSB20102020LM,Nasdaq US Medical Services Large Mid Cap Index,NQUSB20,Medical Services,"NQUSB20,NQUSB201020,NQUSB20102020",
NQUSB30201030,Nasdaq US Benchmark Financial Data Providers Index,NQUSB30,Financial Data Providers,"NQUSB30,NQUSB3020,NQUSB302010,NQUSB30201030",
NQUSB30201030LM,Nasdaq US Financial Data Providers Large Mid Cap Index,NQUSB30,Financial Data Providers,"NQUSB30,NQUSB3020,NQUSB302010,NQUSB30201030",
NQUSB30203000,Nasdaq US Benchmark Mortgage REITs: Diversified Index,NQUSB30,Mortgage REITs: Diversified,"NQUSB30,NQUSB3020,NQUSB302030,NQUSB30203000",
NQUSB30203010,Nasdaq US Benchmark Mortgage REITs: Commercial Index,NQUSB30,Mortgage REITs: Commercial,"NQUSB30,NQUSB3020,NQUSB302030,NQUSB30203010",
NQUSB35102010,Nasdaq US Benchmark Health Care REITs Index,NQUSB35,Health Care REITs,"NQUSB35,NQUSB351020,NQUSB35102010",
NQUSB35102010LM,Nasdaq US Health Care REITs Large Mid Cap Index,NQUSB35,Health Care REITs,"NQUSB35,NQUSB351020,NQUSB35102010",
NQUSB35102020,Nasdaq US Benchmark Industrial REITs Index,NQUSB35,Industrial REITs,"NQUSB35,NQUSB351020,NQUSB35102020",
NQUSB35102020LM,Nasdaq US Industrial REITs Large Mid Cap Index,NQUSB35,Industrial REITs,"NQUSB35,NQUSB351020,NQUSB35102020",
NQUSB35102025,Nasdaq US Benchmark Infrastructure REITs Index,NQUSB35,Infrastructure REITs,"NQUSB35,NQUSB351020,NQUSB35102025",
NQUSB35102050,Nasdaq US Benchmark Storage REITs Index,NQUSB35,Storage REITs,"NQUSB35,NQUSB351020,NQUSB35102050",
NQUSB40201010,Nasdaq US Benchmark Education Services Index,NQUSB40,Education Services,"NQUSB40,NQUSB4020,NQUSB402010,NQUSB40201010",
NQUSB40201040,Nasdaq US Benchmark Rental and Leasing Services: Consumer Index,NQUSB40,Rental and Leasing Services: Consumer,"NQUSB40,NQUSB4020,NQUSB402010,NQUSB40201040",
NQUSB40203040,Nasdaq US Benchmark Electronic Entertainment Index,NQUSB40,Electronic Entertainment,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203040",
NQUSB40203040LM,Nasdaq US Electronic Entertainment Large Mid Cap Index,NQUSB40,Electronic Entertainment,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203040",
NQUSB40203055,Nasdaq US Benchmark Recreational Vehicles and Boats Index,NQUSB40,Recreational Vehicles and Boats,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203055",
NQUSB40204035,Nasdaq US Benchmark Cosmetics Index,NQUSB40,Cosmetics,"NQUSB40,NQUSB4020,NQUSB402040,NQUSB40204035",
NQUSB40301010,Nasdaq US Benchmark Entertainment Index,NQUSB40,Entertainment,"NQUSB40,NQUSB4030,NQUSB40301010",
NQUSB40301010LM,Nasdaq US Entertainment Large Mid Cap Index,NQUSB40,Entertainment,"NQUSB40,NQUSB4030,NQUSB40301010",
NQUSB40301035,Nasdaq US Benchmark Radio and TV Broadcasters Index,NQUSB40,Radio and TV Broadcasters,"NQUSB40,NQUSB4030,NQUSB40301035",
NQUSB40301035LM,Nasdaq US Radio and TV Broadcasters Large Mid Cap Index,NQUSB40,Radio and TV Broadcasters,"NQUSB40,NQUSB4030,NQUSB40301035",
NQUSB50101015,Nasdaq US Benchmark Engineering and Contracting Services Index,NQUSB50,Engineering and Contracting Services,"NQUSB50,NQUSB5010,NQUSB50101015",
NQUSB50101015LM,Nasdaq US Engineering and Contacting Services Large Mid Cap Index,NQUSB50,Engineering and Contacting Services,"NQUSB50,NQUSB5010,NQUSB50101015",
NQUSB50101020,"Nasdaq US Benchmark Building, Roofing/Wallboard and Plumbing Index",NQUSB50,"Building, Roofing/Wallboard and Plumbing","NQUSB50,NQUSB5010,NQUSB50101020",
NQUSB50101025,Nasdaq US Benchmark Building: Climate Control Index,NQUSB50,Building: Climate Control,"NQUSB50,NQUSB5010,NQUSB50101025",
NQUSB50101025LM,Nasdaq US Building: Climate Control Large Mid Cap Index,NQUSB50,Building: Climate Control,"NQUSB50,NQUSB5010,NQUSB50101025",
NQUSB50202010,Nasdaq US Benchmark Electrical Components Index,NQUSB50,Electrical Components,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202010",
NQUSB50202020,Nasdaq US Benchmark Electronic Equipment: Control and Filter Index,NQUSB50,Electronic Equipment: Control and Filter,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202020",
NQUSB50202020LM,Nasdaq US Electronic Equipment: Control and Filter Large Mid Cap Index,NQUSB50,Electronic Equipment: Control and Filter,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202020",
NQUSB50202040,Nasdaq US Benchmark Electronic Equipment: Other Index,NQUSB50,Electronic Equipment: Other,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202040",
NQUSB50203010,Nasdaq US Benchmark Paints and Coatings Index,NQUSB50,Paints and Coatings,"NQUSB50,NQUSB5020,NQUSB502030,NQUSB50203010",
NQUSB50204010,Nasdaq US Benchmark Machinery: Agricultural Index,NQUSB50,Machinery: Agricultural,"NQUSB50,NQUSB5020,NQUSB502040,NQUSB50204010",
NQUSB50204020,Nasdaq US Benchmark Machinery: Construction and Handling Index,NQUSB50,Machinery: Construction and Handling,"NQUSB50,NQUSB5020,NQUSB502040,NQUSB50204020",
NQUSB50204050,Nasdaq US Benchmark Machinery: Specialty Index,NQUSB50,Machinery: Specialty,"NQUSB50,NQUSB5020,NQUSB502040,NQUSB50204050",
NQUSB50205030,Nasdaq US Benchmark Forms and Bulk Printing Services Index,NQUSB50,Forms and Bulk Printing Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205030",
NQUSB50205040,Nasdaq US Benchmark Security Services Index,NQUSB50,Security Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205040",
NQUSB50206025,Nasdaq US Benchmark Railroad Equipment Index,NQUSB50,Railroad Equipment,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206025",
NQUSB50206050,Nasdaq US Benchmark Commercial Vehicle-Equipment Leasing Index,NQUSB50,Commercial Vehicle-Equipment Leasing,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206050",
NQUSB55101000,Nasdaq US Benchmark Diversified Materials Index,NQUSB55,Diversified Materials,"NQUSB55,NQUSB5510,NQUSB551010,NQUSB55101000",
NQUSB55102015,Nasdaq US Benchmark Metal Fabricating Index,NQUSB55,Metal Fabricating,"NQUSB55,NQUSB5510,NQUSB551020,NQUSB55102015",
NQUSB55201015,Nasdaq US Benchmark Fertilizers Index,NQUSB55,Fertilizers,"NQUSB55,NQUSB5520,NQUSB55201015",
