Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB502030,Nasdaq US Benchmark General Industrials Index,NQUSB50,General Industrials,"NQUSB50,NQUSB5020,NQUSB502030","NQUSB50203030,NQUSB50203000,NQUSB50203010"
NQUSB502020,Nasdaq US Benchmark Electronic and Electrical Equipment Index,NQUSB50,Electronic and Electrical Equipment,"NQUSB50,NQUSB5020,NQUSB502020","NQUSB50202025,NQUSB50202010,NQUSB50202020,NQUSB50202040"
NQUSB502040,Nasdaq US Benchmark Industrial Engineering Index,NQUSB50,Industrial Engineering,"NQUSB50,NQUSB5020,NQUSB502040","NQUSB50204000,NQUSB50204010,NQUSB50204020,NQUSB50204050"
NQUSB502060,Nasdaq US Benchmark Industrial Transportation Index,NQUSB50,Industrial Transportation,"NQUSB50,NQUSB5020,NQUSB502060","NQUSB50206015,NQUSB50206040,NQUSB50206020,NQUSB50206060,NQUSB50206010,NQUSB50206030,NQUSB50206025,NQUSB50206050"
NQUSB502050,Nasdaq US Benchmark Industrial Support Services Index,NQUSB50,Industrial Support Services,"NQUSB50,NQUSB5020,NQUSB502050","NQUSB50205020,NQUSB50205025,NQUSB50205015,NQUSB50205010,NQUSB50205030,NQUSB50205040"
NQUSB451010,Nasdaq US Benchmark Beverages Index,NQUSB45,Beverages,"NQUSB45,NQUSB4510,NQUSB451010","NQUSB45101020,NQUSB45101015"
NQUSB451020,Nasdaq US Benchmark Food Producers Index,NQUSB45,Food Producers,"NQUSB45,NQUSB4510,NQUSB451020","NQUSB45102010,NQUSB45102020"
NQUSB402020,Nasdaq US Benchmark Household Goods and Home Construction Index,NQUSB40,Household Goods and Home Construction,"NQUSB40,NQUSB4020,NQUSB402020","NQUSB40202025,NQUSB40202015,NQUSB40202010"
NQUSB402030,Nasdaq US Benchmark Leisure Goods Index,NQUSB40,Leisure Goods,"NQUSB40,NQUSB4020,NQUSB402030","NQUSB40203010,NQUSB40203050,NQUSB40203045,NQUSB40203040,NQUSB40203055"
NQUSB402040,Nasdaq US Benchmark Personal Goods Index,NQUSB40,Personal Goods,"NQUSB40,NQUSB4020,NQUSB402040","NQUSB40204020,NQUSB40204025,NQUSB40204035"
NQUSB451030,Nasdaq US Benchmark Tobacco Index,NQUSB45,Tobacco,"NQUSB45,NQUSB4510,NQUSB451030",
NQUSB201020,Nasdaq US Benchmark Medical Equipment and Services Index,NQUSB20,Medical Equipment and Services,"NQUSB20,NQUSB201020","NQUSB20102010,NQUSB20102015,NQUSB20102020"
NQUSB201030,Nasdaq US Benchmark Pharmaceuticals and Biotechnology Index,NQUSB20,Pharmaceuticals and Biotechnology,"NQUSB20,NQUSB201030","NQUSB20103010,NQUSB20103015"
NQUSB404010,Nasdaq US Benchmark Retailers Index,NQUSB40,Retailers,"NQUSB40,NQUSB4040,NQUSB404010","NQUSB40401020,NQUSB40401010,NQUSB40401025,NQUSB40401030"
NQUSB151020,Nasdaq US Benchmark Telecommunications Service Providers Index,NQUSB15,Telecommunications Service Providers,"NQUSB15,NQUSB151020","NQUSB15102010,NQUSB15102015"
NQUSB651010,Nasdaq US Benchmark Electricity Index,NQUSB65,Electricity,"NQUSB65,NQUSB651010","NQUSB65101015,NQUSB65101010"
NQUSB651020,"Nasdaq US Benchmark Gas, Water and Multi-utilities Index",NQUSB65,"Gas, Water and Multi-utilities","NQUSB65,NQUSB651020","NQUSB65102020,NQUSB65102000,NQUSB65102030"
NQUSB303020,Nasdaq US Benchmark Non-life Insurance Index,NQUSB30,Non-life Insurance,"NQUSB30,NQUSB3030,NQUSB303020","NQUSB30302010,NQUSB30302025,NQUSB30302020,NQUSB30302015"
NQUSB303010,Nasdaq US Benchmark Life Insurance Index,NQUSB30,Life Insurance,"NQUSB30,NQUSB3030,NQUSB303010",
NQUSB351010,Nasdaq US Benchmark Real Estate Investment and Services Index,NQUSB35,Real Estate Investment and Services,"NQUSB35,NQUSB351010","NQUSB35101010,NQUSB35101015"
NQUSB351020,Nasdaq US Benchmark Real Estate Investment Trusts Index,NQUSB35,Real Estate Investment Trusts,"NQUSB35,NQUSB351020","NQUSB35102030,NQUSB35102045,NQUSB35102040,NQUSB35102000,NQUSB35102070,NQUSB35102015,NQUSB35102010,NQUSB35102020,NQUSB35102025,NQUSB35102050"
NQUSB302020,Nasdaq US Benchmark Investment Banking and Brokerage Services Index,NQUSB30,Investment Banking and Brokerage Services,"NQUSB30,NQUSB3020,NQUSB302020","NQUSB30202010,NQUSB30202000,NQUSB30202015"
NQUSB101010,Nasdaq US Benchmark Software and Computer Services Index,NQUSB10,Software and Computer Services,"NQUSB10,NQUSB101010","NQUSB10101010,NQUSB10101020,NQUSB10101015"
NQUSB101020,Nasdaq US Benchmark Technology Hardware and Equipment Index,NQUSB10,Technology Hardware and Equipment,"NQUSB10,NQUSB101020","NQUSB10102015,NQUSB10102030,NQUSB10102010,NQUSB10102020"
NQUSB60101010,Nasdaq US Benchmark Oil: Crude Producers Index,NQUSB60,Oil: Crude Producers,"NQUSB60,NQUSB601010,NQUSB60101010",
NQUSB60101000,Nasdaq US Benchmark Integrated Oil and Gas Index,NQUSB60,Integrated Oil and Gas,"NQUSB60,NQUSB601010,NQUSB60101000",
NQUSB60101030,Nasdaq US Benchmark Oil Equipment and Services Index,NQUSB60,Oil Equipment and Services,"NQUSB60,NQUSB601010,NQUSB60101030",
NQUSB60101035,Nasdaq US Benchmark Pipelines Index,NQUSB60,Pipelines,"NQUSB60,NQUSB601010,NQUSB60101035",
NQUSB60102020,Nasdaq US Benchmark Renewable Energy Equipment Index,NQUSB60,Renewable Energy Equipment,"NQUSB60,NQUSB601020,NQUSB60102020",
NQUSB55201000,Nasdaq US Benchmark Chemicals: Diversified Index,NQUSB55,Chemicals: Diversified,"NQUSB55,NQUSB5520,NQUSB55201000",
NQUSB55201020,Nasdaq US Benchmark Specialty Chemicals Index,NQUSB55,Specialty Chemicals,"NQUSB55,NQUSB5520,NQUSB55201020",
NQUSB55101015,Nasdaq US Benchmark Paper Index,NQUSB55,Paper,"NQUSB55,NQUSB5510,NQUSB551010,NQUSB55101015",
NQUSB55102010,Nasdaq US Benchmark Iron and Steel Index,NQUSB55,Iron and Steel,"NQUSB55,NQUSB5510,NQUSB551020,NQUSB55102010",
NQUSB60101040,Nasdaq US Benchmark Coal Index,NQUSB60,Coal,"NQUSB60,NQUSB601010,NQUSB60101040",
NQUSB55103025,Nasdaq US Benchmark Gold Mining Index,NQUSB55,Gold Mining,"NQUSB55,NQUSB5510,NQUSB551030,NQUSB55103025",
NQUSB50101035,Nasdaq US Benchmark Building Materials: Other Index,NQUSB50,Building Materials: Other,"NQUSB50,NQUSB5010,NQUSB50101035",
