Symbol,Description,Primary Return %,1W Return %,1M Return %,3M Return %,6M Return %,Custom Period Return %,1Y Return %,YTD Return %,RS 1W,RS 1M,Rel Return 1W %,Rel Return 1M %,Rel Return 3M %,RS 3M,RS 6M,Rel Return 6M %,Rel Return YTD %,Rel Return 1Y %,RS YTD,RS 1Y
NQUSB,NASDAQ US Benchmark Index,,-1.4088362000581733,-1.5762252310334641,-0.1664363413771561,5.766686715919526,,12.800020721059491,0.12209763955791918,24.907756740315453,15.721106397462124,-0.12610261310477391,-0.33320550127798426,0.07225630074026268,44.291170224838844,44.291170224838844,0.05753516308367854,0.05160463351905776,-0.17012027538180546,0,75.73710714585025
NQUSB10,Nasdaq US Benchmark Technology Index,,-2.50058104304935,-4.800226960268833,-5.891036069716413,3.3306751679759765,,19.30901582883541,-0.6651381841502382,1,1,-1.2320517491026686,-3.5979239960266987,-5.666030406047397,1,1,-2.2469835722976064,-0.7350769207422683,5.590447804160068,0,57.59335492787057
NQUSB101010,Nasdaq US Benchmark Software and Computer Services Index,,-2.4303714646650314,-11.349165111083462,-11.949015778417595,-7.5923333276647815,,3.458456258412019,0.0560665966682095,1,1,-1.160928699562836,-10.229570408635972,-11.738494173311349,1,1,-12.580381928386347,-0.014379918867400776,-8.43755897605357,0,1
NQUSB10101010,Nasdaq US Benchmark Computer Services Index,,-4.858154464290838,-11.88032694010452,-15.000787745688138,0.6466558627055815,,-4.565460609642833,2.414594857979621,36.65010947251334,16.930147968166523,-3.620298696191473,-10.767440420052155,-14.797562639748232,13.976053278963594,10.150503102182737,-4.786122920935866,2.3424877724910513,-15.53885781215122,0,9.500472110069385
NQUSB10101010LM,Nasdaq US Computer Services Large Mid Cap Index,,-5.570602039201779,-12.13773938952008,-15.834773908303735,-0.6299369120307783,,-6.118460257793866,2.4078251104866872,34.44582804108526,16.575568087084754,-4.342015666026442,-11.028103798971875,-15.633542784681481,12.921448160107456,9.928006115369834,-5.993806837424638,2.3357227913769916,-16.913288127821787,0,8.419728293485907
NQUSB10101015,Nasdaq US Benchmark Software Index,,0.3266891650994993,-15.609340707724654,-23.51836412392609,-24.280155125814233,,-12.095684418147838,0.9752378292054716,36.17828243700236,12.730116753009304,1.6320030380652946,-14.543548882999326,-23.335503740386677,7.726484171489026,6.211604979493302,-28.36741627927229,0.9041441524060214,-22.20323014379711,0,5.635273746059095
NQUSB10101015LM,Nasdaq US Software Large Mid Cap Index,,0.44694654721217475,-15.500087013739996,-23.521075057325007,-24.236964199324323,,-11.434702018804332,0.968603235812256,37.66921097678217,13.133474207859003,1.753825045010143,-14.432915395387674,-23.33822115537186,7.942127398475601,6.4133285026286595,-28.326556744193944,0.8975142302336852,-21.61824981307778,0,5.803697718437246
NQUSB10101020,Nasdaq US Benchmark Consumer Digital Services Index,,-4.783454625187149,-6.465569086418073,4.858953663232094,18.420923552030793,,28.520262438216438,-1.1433495194862626,1,1,-3.5446269647917097,-5.284298165749289,5.109661539243921,35.556110771874316,54.35806439384979,12.028712350395695,-1.2129515616287598,13.742553054231424,0,68.49130516556143
NQUSB10101020LM,Nasdaq US Consumer Digital Services Large Mid Cap Index,,-4.775287877771988,-6.405166006488451,5.004415728522591,18.71002179453424,,29.371726026793304,-1.1503913497380232,1,1,-3.5363539628117264,-5.223132239441684,5.255471390623781,36.08092799605597,54.84898977920575,12.302205436574779,-1.219988433936237,14.496112380676212,0,68.8338888111394
NQUSB101010LM,Nasdaq US Software and Computer Services Large Mid Cap Index,,-2.418354385230238,-11.24142478216493,-11.825001480855276,-7.427053934325565,,4.270576169895719,0.027922910151196634,1,1,-1.1487552703009904,-10.120469398775768,-11.614183369251002,1,1,-12.42402410699416,-0.042503790247587055,-7.718819453071818,0,1
NQUSB101020,Nasdaq US Benchmark Technology Hardware and Equipment Index,,-2.5570785552563575,1.1965452363654716,-0.3961668876979372,14.215408417406453,,36.0264224558006,-1.2355561717136543,1,49.27979524112368,-1.2892843297853163,2.4745830133880045,-0.15802350966632384,63.24211121564752,77.76633077310487,8.050205586807932,-1.3050932938809872,20.38562853382011,0,89.52143120519904
NQUSB10102010,Nasdaq US Benchmark Semiconductors Index,,-1.033127293798615,0.09286192359020468,-2.160782539504414,8.757356628992227,,44.63463607834937,-1.4545034563382055,1,64.97075751948466,0.2544945043737403,1.3569609938683265,-1.926858191194034,70.70538429289728,50.49206687251721,2.8867725087914007,-1.523886424201727,28.00403963950549,0,81.29194269798546
NQUSB10102010LM,Nasdaq US Semiconductors Large Mid Cap Index,,-1.0830910763269999,-0.06065455835161951,-2.42722991378375,8.437906298627588,,44.5183471689172,-1.4729129900273727,1,63.49713114043528,0.20388066133779978,1.2015057119125518,-2.193942616034527,69.05875081850077,48.763519921011884,2.584565701943341,-1.5422829962830227,27.901122035699128,0,80.67578242063148
NQUSB10102015,Nasdaq US Benchmark Electronic Components Index,,6.775989737078931,9.746304677069618,12.844890974112912,39.43271778086388,,93.87020884245925,2.229676652689714,99,98.99999999999999,8.165213101901651,11.132319614025349,13.1146924736183,99,98.99999999999999,31.906316586385262,2.1576997626372005,71.57833400394016,0,99
NQUSB10102015LM,Nasdaq US Electronic Components Large Mid Cap Index,,7.794570620064493,10.400424945548291,12.528938044688617,40.48086742173861,,98.64131897001533,2.3876950923691185,99,99,9.19704636835929,11.794700939360062,12.797984130516053,99,99,32.89788843953111,2.3156069462094706,75.80084519801756,0,99
NQUSB10102020,Nasdaq US Benchmark Production Technology Equipment Index,,4.434254328624988,12.926048201471014,43.34757402660737,90.80520346130942,,119.46182260686915,3.3121062648149664,99,95.28288688327937,5.793010230194329,14.35222095543458,43.69030456663431,97.53545102667076,98.00899533677621,80.50578067087862,3.2393672681048558,94.2273344893004,0,98.10806267944118
NQUSB10102020LM,Nasdaq US Production Technology Equipment Large Mid Cap Index,,4.302881071589026,13.09150664387907,43.294551645325626,92.2096262226303,,121.32956701335354,3.4527198602165874,99,92.56257269994867,5.659927723741584,14.5197690160152,43.63715541383591,96.41546161198369,97.26898649003223,81.83439447346596,3.3798818616351403,95.8803191099039,0,97.43229548602284
NQUSB10102030,Nasdaq US Benchmark Computer Hardware Index,,-7.012622103557724,0.38894577204801817,-4.024436245995752,13.736332309709143,,12.60952732620792,-2.0011163136475445,1,43.365276567690664,-5.80279732623254,1.656784163096554,-3.7949677180617134,38.135172857117865,53.661401899280946,7.596989399555438,-2.0701144275741252,-0.33871007328080704,0,65.34039365199986
NQUSB10102030LM,Nasdaq US Computer Hardware Large Mid Cap Index,,-7.188992384858128,0.008532742354267535,-4.696965040148213,12.59655830575008,,11.507035708103812,-2.04409733801702,1,41.607014319913645,-5.9814622967813955,1.2715667972302072,-4.469104465180037,34.87246978345037,48.55261510931777,6.518738950192189,-2.1130651902762825,-1.314433348233928,0,61.63507627403851
NQUSB101020LM,Nasdaq US Technology Hardware and Equipment Large Mid Cap Index,,-2.65901001348269,0.9586478122051725,-0.894776183040289,13.542006719786576,,35.365164439784486,-1.2655357826070948,1,47.11594506467686,-1.392541980948156,2.2336811201085016,-0.6578249328435196,60.176689496261204,73.73831755875271,7.413153258417831,-1.335051797017572,19.800404277797394,0,87.73236064615638
NQUSB10LM,Nasdaq US Technology Large Mid Cap Index,,-2.552013254414463,-4.859521838880369,-6.074187915021649,3.1210862326020257,,19.51417163393505,-0.6945152377630051,1,1,-1.2841531261660735,-3.6579677252503813,-5.8496201501540135,1,1,-2.445259162865156,-0.7644332908409335,5.772014077082582,0,57.02435606500734
NQUSB15,Nasdaq US Benchmark Telecommunications Index,,1.3889221735486568,13.122115445885468,12.119292691049308,9.335753181468439,,20.309783368039305,1.3610546854658883,87.80560369737353,97.50975954245568,2.7080563718315656,14.550764384629975,12.38735935344229,97.56398301618255,97.56398301618255,3.433947949230773,1.2896893664354199,6.476143590671358,0,68.81740916797123
