Advertising/Marketing Services,Aerospace & Defense,Agricultural Commodities/Milling,Air Freight/Couriers,Airlines,Alternative Power Generation,Aluminum,Apparel/Footwear,Apparel/Footwear Retail,Auto Parts/ OEM,Automotive Aftermarket,Beverages/ Alcoholic,Beverages/ Non-Alcoholic,Biotechnology,Broadcasting,Building Products,Cable/Satellite TV,Casinos/Gaming,Catalog/Specialty Distribution,Chemicals/ Agricultural,Chemicals/ Major Diversified,Chemicals/ Specialty,Coal,Commercial Printing/Forms,Computer Communications,Computer Peripherals,Computer Processing Hardware,Construction Materials,Consumer Sundries,Containers/Packaging,Contract Drilling,Data Processing Services,Department Stores,Discount Stores,Drugstore Chains,Electric Utilities,Electrical Products,Electronic Components,Electronic Equipment/Instruments,Electronic Production Equipment,Electronics Distributors,Electronics/Appliance Stores,Electronics/Appliances,Engineering & Construction,Environmental Services,Finance/Rental/Leasing,Financial Conglomerates,Financial Publishing/Services,Food Distributors,Food Retail,Food/ Major Diversified,Food/ Meat/Fish/Dairy,Food/ Specialty/Candy,Forest Products,Gas Distributors,Home Furnishings,Home Improvement Chains,Homebuilding,Hospital/Nursing Management,Hotels/Resorts/Cruise lines,Household/Personal Care,Industrial Conglomerates,Industrial Machinery,Industrial Specialties,Information Technology Services,Insurance Brokers/Services,Integrated Oil,Internet Retail,Internet Software/Services,Investment Banks/Brokers,Investment Managers,Investment Trusts/Mutual Funds,Life/Health Insurance,Major Banks,Major Telecommunications,Managed Health Care,Marine Shipping,Media Conglomerates,Medical Distributors,Medical Specialties,Medical/Nursing Services,Metal Fabrication,Miscellaneous,Miscellaneous Commercial Services,Miscellaneous Manufacturing,Motor Vehicles,Movies/Entertainment,Multi-Line Insurance,Office Equipment/Supplies,Oil & Gas Pipelines,Oil & Gas Production,Oil Refining/Marketing,Oilfield Services/Equipment,Other Consumer Services,Other Consumer Specialties,Other Metals/Minerals,Other Transportation,Packaged Software,Personnel Services,Pharmaceuticals/ Generic,Pharmaceuticals/ Major,Pharmaceuticals/ Other,Precious Metals,Property/Casualty Insurance,Publishing/ Books/Magazines,Publishing/ Newspapers,Pulp & Paper,Railroads,Real Estate Development,Real Estate Investment Trusts,Recreational Products,Regional Banks,Restaurants,Savings Banks,Semiconductors,Services to the Health Industry,Specialty Insurance,Specialty Stores,Specialty Telecommunications,Steel,Telecommunications Equipment,Textiles,Tobacco,Tools & Hardware,Trucking,Trucks/Construction/Farm Machinery,Water Utilities,Wholesale Distributors,Wireless Telecommunications
OMC,GE,CTVA,DASH,DAL,TLN,AA,NKE,TJX,ITW,LKQ,BUD,KO,AMGN,FOXA,WSO,CMCSA,LVS,YJ,NTR,DD,LIN,HCC,WMG,RDWR,ANET,SONY,CRH,CENT,AMCR,SLB,MSCI,PDD,DG,CVS,NEE,GEV,APH,EMR,VRT,SNX,BBY,SN,PWR,WM,V,RPRX,SPGI,SYY,KR,KHC,TSN,PEP,LPX,SRE,SGI,HD,DHI,HCA,MAR,PG,MMM,AMAT,SHW,IBM,MMC,XOM,AMZN,GOOGL,GS,MS,TPL,PRU,JPM,CHT,UNH,KEX,SPHR,MCK,ABT,LH,RBC,LMB,SHOP,WMS,TSLA,DIS,PGR,HNI,ENB,COP,MPC,HAL,BKNG,MSA,RIO,UBER,MSFT,KFY,TEVA,LLY,RVMD,NEM,BRK.A,PSO,NWS,IP,UNP,CBRE,WELL,AS,IBN,MCD,WBS,NVDA,DGX,FNF,WMT,TEF,BHP,AAPL,AIN,PM,SNA,ODFL,CAT,AWK,FERG,TMUS
IPG,RTX,ADM,UPS,RYAAY,BIP,CENX,RL,ROST,CMI,DORM,DEO,MNST,GILD,FOX,MAS,WBD,FLUT,,CF,ESI,ECL,CNR,BZ,ALLT,STX,DELL,VMC,CENTA,SW,BKR,PAYX,DDS,DLTR,GRDN,CEG,ETN,GLW,KEYS,TER,ARW,GME,WHR,FER,RSG,MA,BMNR,MCO,USFD,ACI,GIS,JBS,MDLZ,UFPI,TRGP,LZB,LOW,LEN,THC,RCL,UL,RLX,LRCX,PPG,ACN,AON,CVX,BABA,GOOG,SCHW,BX,VNOM,CRBG,BAC,BCE,ELV,FRO,THH,COR,TMO,SOLV,MLI,PANL,RELX,AWI,TM,TKO,MFC,SCS,WMB,FANG,E,FTI,CTAS,FWDI,SCCO,PFGC,ORCL,RHI,,JNJ,ABVX,AEM,BRK.B,WLY,NWSA,AVY,NSC,BEKE,PLD,HAS,NU,SBUX,TFSL,AVGO,ASTH,ORI,COST,SATS,VALE,CSCO,MAGN,BTI,ALLE,XPO,DE,SBS,FAST,T
WPP,BA,BG,FDX,UAL,CWEN.A,CSTM,LULU,TPR,ITT,GT,ABEV,CCEP,ARGX,SIRI,CSL,CHTR,WYNN,,MOS,SSL,APD,BTU,CMPO,SMRT,WDC,HPE,MLM,DOGZ,PKG,NE,VRSK,OLLI,FIVE,,SO,AME,CLS,FTV,BE,REZI,PLBL,SONO,OTIS,WCN,AXP,MAIN,FICO,CHEF,SFM,CAG,HRL,HSY,WFG,ATO,ARHS,BLDR,LEN.B,UHS,ABNB,CL,HI,PH,RPM,INFY,AJG,SHEL,MELI,META,HOOD,BLK,BXSL,EQH,WFC,FYBR,CI,MATX,FTRK,CAH,ISRG,GH,VMI,INV,PYPL,BRC,RACE,LYV,AFL,MLKN,EPD,WDS,PSX,NOV,TCOM,ZEPP,FCX,PAC,PLTR,UPWK,,ABBV,CDTX,B,CB,WLYB,NYT,SUZ,CSX,JLL,AMT,MAT,CM,CMG,WSFS,TSM,NRC,FAF,ORLY,ASTS,NUE,MSI,MAMK,MO,SWK,JBHT,PCAR,WTRG,GWW,VZ
WSHP,HON,PPC,GRAB,LUV,CWEN,KALU,ONON,BURL,MGA,XPEL,STZ,KDP,IQV,NXST,SPXC,PSKY,MGM,,ICL,PRM,DOW,ARLP,CMPR,GNSS,SNDK,SMCI,AMRZ,FMFC,BALL,RIG,TYL,M,,,DUK,ROK,NVT,Q,FLEX,AVT,RERE,IMAX,FIX,GFL,RKT,KYIV,EFX,UNFI,TBBB,CHA,SFD,K,TREX,CQP,MBC,FND,PHM,CHE,HLT,KMB,ISPR,TT,AXTA,NET,WTW,TTE,SE,NFLX,IBKR,UBS,FSK,RGA,HSBC,LUMN,HUM,HAFN,,HSIC,DHR,FMS,USAR,ALPS,XYZ,YETI,GM,DKNG,ALL,ACCO,KMI,AR,VLO,WFRD,EXPE,MOV,CCJ,ASR,SAP,MAN,,AZN,BRBR,WPM,TRV,SCHL,TDAY,SLVM,CP,OPEN,EQIX,THO,USB,YUM,PFS,ASML,QIPT,ESNT,CVNA,PHI,MT,GRMN,UFI,TPB,EML,SAIA,WAB,AWR,GPC,AMX
DJT,LMT,SEB,EXPD,LTM,ENLT,TG,DECK,GAP,DCI,SMP,BF.B,FMX,NTRA,TGNA,AOS,CABO,BYD,,SMG,AVNT,SQM,AMR,DLX,SILC,PSTG,IONQ,CX,,CCK,VAL,GDDY,KSS,,,NGG,HUBB,TTMI,NXT,SANM,SCSC,,SPB,EME,CLH,URI,JCAP,TRU,DOLE,WMK,SMPL,MAMA,MKC,JELD,NI,LEG,ZKH,NVR,PACS,CUK,EL,,JCI,CSW,FTNT,BRO,BP,CPNG,SPOT,CME,BN,BSM,PRI,RY,KT,CNC,STNG,,POM,BSX,EHC,ROCK,YOUL,FISV,LCII,F,CHDN,MET,VIRC,ET,RRC,DINO,AROC,SCI,FOSL,TECK,SARO,CRM,HSII,,MRK,BHC,AU,HIG,VALU,DJCO,CLW,CNI,FSV,SPG,GOLF,TFC,QSR,NWBI,AMD,,RDN,AZO,IRDM,STLD,UI,CULP,,ILAG,KNX,CNH,CWT,WCC,VOD
PTRN,GD,CALM,CHRW,AAL,ALE,,LEVI,URBN,ALV,,BF.A,COKE,BNTX,SBGI,MHK,AMCX,SGHC,,FMC,NGVT,LYB,NRP,EBF,SPCB,NTAP,ZBRA,JHX,,OC,HP,J,PSQH,,,AEP,LITE,CAMT,NVMI,AEIS,CLMB,,RR,MTZ,CWST,SOFI,IGIC,,DNUT,IMKTA,HLF,LWAY,MKC.V,NWGL,SWX,ETD,TTSH,TOL,BKD,CCL,KVUE,,SYM,AZZ,WDAY,RYAN,PBR,JD,TRI,ICE,KKR,TSLX,VOYA,C,TEO,MOH,CMBT,,WGRX,SYK,ENSG,IIIN,TWNP,ROL,DAKT,HMC,MSGS,AIG,,TRP,CRK,IEP,WHD,PLNT,,CRS,LYFT,APP,BBSI,,NVS,AVBP,FNV,MKL,EDUC,CUB,MERC,GATX,HHH,DLR,PII,KB,DRI,CLBK,MU,,AGO,TGT,ITRN,TS,NOK,WFF,,,TFII,BWA,HTO,QXO,TLK
SBET,HWM,FDP,ZTO,CPA,RNW,,GIL,BOOT,ALSN,,TAP,CELH,UTHR,NMAX,SSD,,CZR,,UAN,IOSP,ALB,METC,ANPA,MSAI,LOGI,RGTI,EXP,,ATR,PTEN,IREN,,,,VST,APTV,VICR,ONTO,LFUS,AENT,,OWLT,APG,PCT,IX,BCSF,,WILC,GO,BYND,WYHG,IFF,,BKH,HELE,MWYN,TMHC,SGRY,VIK,CHD,,CARR,FUL,CTSH,CRVL,PBR.A,EBAY,MSTR,BCS,BAM,WT,JXN,MUFG,LBTYB,OSCR,INSW,,MYO,MDT,HIMS,ZEUS,GAME,CPAY,SWIM,STLA,CNK,PUK,,MPLX,CNX,PBF,USAC,EDU,,ATI,VNT,INTU,AMN,,NVO,CRON,GFI,L,,LEE,,,MTH,O,HAYW,MTB,YUMC,TFIN,QCOM,,STC,CPRT,TSAT,PKX,ERIC,,,,LSTR,AGCO,WBI,AIT,RCI
CRTO,NOC,VITL,CART,ALK,XIFR,,BIRK,ANF,LEA,,TAP.A,PRMB,NBIX,GTN,FBIN,,RSI,,SLI,HUN,WLK,METCB,QUAD,FIEE,EXTR,QBTS,ACA,,SEE,SDRL,AKAM,,,,D,AYI,KN,CGNX,OLED,FOXX,,GPRO,ACM,NVRI,SYF,CCCX,,AGCC,NGVC,OTLY,BTOG,SJM,,BIPC,XWIN,,SKY,NHC,IHG,CLX,,XYL,WDFC,WIT,NP,CNQ,CHWY,BIDU,BK,APO,KRP,BHF,HDB,LBTYK,ALHC,TDW,,YI,IDXX,DVA,ASTL,DAIC,ULS,MATW,XPEV,MANU,ACGL,,OKE,VIST,CVI,KGS,LTH,,MP,OMAB,NOW,KFRC,,PFE,NAGE,KGC,ERIE,,,,,MRP,PSA,MODG,FITB,DPZ,OCFC,INTC,,TIPT,TSCO,CMBM,RS,CIEN,,,,SNDR,TTC,MSEX,CNM,VIV
CCO,TDG,TLRY,R,SKYW,SUUN,,VFC,AEO,GNTX,,CCU,KOF,BBIO,GTN.A,GFF,,BRSL,,ODC,ARQ,SOLS,HNRG,TZOO,DTSS,SSYS,NATL,KNF,,GPK,BORR,FDS,,,,XEL,RRX,BELFB,RAL,LPL,RCON,,TBCH,BLD,YDDL,AER,MTA,,HFFG,ARKO,BGS,STKH,CPB,,SR,FLXS,,CVCO,SEM,H,REYN,,IR,OLN,CRDO,GSHD,EOG,VIPS,RDDT,COIN,ARES,CSWC,PRVA,SAN,LBTYA,TBRG,ZIM,,RDGT,BDX,BTSG,PKOH,DSY,GPN,MYE,RIVN,BATRA,SLF,,LNG,MUR,DK,LBRT,HRB,,HBM,CAAP,ADBE,CCRN,,SNY,USNA,PAAS,EG,,,,,MRP/I,CCI,WGO,FCNCA,TXRH,CFFN,KLAC,,ITIC,ULTA,IQST,CLF,VSAT,,,,WERN,DOOO,CWCO,POOL,TU
QNST,LHX,AVO,GXO,AERO,MAXN,,CROX,VSCO,ATMU,,SAM,AKO.A,SMMT,IHRT,TGLS,,PENN,,LXU,CTM,NEU,NC,LVO,PCLA,ADTN,BGIN,USLM,,SLGN,PDS,CIFR,,,,EXC,GNRC,BELFA,ESE,PLXS,TAIT,,HBB,STN,PESI,AFRM,BEAG,,EPSM,VLGEA,ABVE,,LW,,OGS,LOVE,,KBH,ARDT,HTHT,ELF,,DOV,UFPT,BR,TWFG,EQNR,GLBE,FWONA,DB,RJF,OCSL,CLOV,TD,LILAK,,SBLK,,JWEL,EW,RDNT,NL,,MEDP,OFLX,LI,BATRK,WRB,,PBA,MGY,PARR,INVX,GHC,,UEC,VRRM,PANW,KELYB,,VRTX,NATR,RGLD,RNR,,,,,CWK,VTR,LVWR,CIB,ARMK,TRST,TXN,,OSG,WSM,PMAX,TX,COMM,,,,ARCB,BC,YORW,SUN,TIMB
IBEX,AXON,AGRO,HUBG,JBLU,,,ZGN,CPRI,GTX,,IPST,AKO.B,ELAN,SSP,TILE,,BALY,,IONR,FSI,EMN,AREC,DSS,UUU,XRX,OSS,TTAM,,SON,NBR,DBX,,,,ETR,QS,RXST,ST,PLUG,,,VIOT,STRL,ALTS,KSPI,CEPF,,DTCK,DDL,HAIN,,INGR,,TGS,BSET,,FTDR,CYH,NCLH,COTY,,VLTO,MATV,HPQ,ROOT,SU,ETSY,FWONK,NDAQ,NTRS,SBR,CIA,COF,LILA,,TRMD,,,A,BLLN,CIX,,ICLR,CAPT,NIO,MSGE,CINF,,VG,GPOR,CLMT,FLOC,BGSI,,NXE,SMHI,CRWD,KELYA,,BMY,FTLF,AGI,AFG,,,,,HGV,VICI,MBUU,EWBC,BROS,HIFS,ARM,,MBI,CASY,,CMC,CALX,,,,MRTN,TEX,ARTNA,UGI,TIGO
NCMI,HEI.A,CRESY,CYRX,ALGT,,,KTB,BKE,VC,,WVVI,FIZZ,RNA,EVC,NPKI,,MSC,,AVD,FTEK,CE,,CRE,SYNX,BLZE,LHSW,LOMA,,GEF.B,,APLD,,,,PEG,SMR,VPG,ITRI,VSH,,,COOK,DY,ESGL,UHAL.B,EVAC,,TWG,MSS,ORIS,,DAR,,NJR,HOFT,,MHO,VMD,RRR,IPAR,,JBL,OPAL,SSNC,WDH,IMO,RVLV,CSGP,AMP,OWL,GSBD,EHTH,BBVA,TV,,DHT,,,ALC,OPCH,ZJK,,RTO,YHGJ,OSK,LION,BNT,,WES,SM,SGU,NESR,GBTG,,LEU,CCEL,ADP,TBI,,GSK,UPXI,HMY,AIZ,,,,,JOE,EXR,TRON,BSAC,WING,SMBC,ADI,,OXBR,DKS,,GGB,ONDS,,,,FWRD,TRN,PCYO,SITE,SKM
VERI,HEI,MGPI,RLGT,VTOL,,,PVH,WINA,DAN,,AMZE,ZVIA,BMRN,TSQ,PLPC,,FLL,,BIOX,,CBT,,IPDN,OBLG,IMMR,EBON,CPAC,,GEF,,GDS,,,,WEC,ENS,LPTH,NOVT,VECO,,,YIBO,TTEK,SCWO,UHAL,BCSS,,,HCWC,,,POST,,CSAN,SNBR,,PATK,BTMD,WH,ENR,,WWD,ASPN,GIB,CRD.A,OXY,REAL,TME,STT,TROW,TRIN,,SMFG,IDT,,TNK,,,RMD,WGS,GIFI,,KLAR,HIHO,VFS,PRKS,UNM,,PAA,NOG,,RES,VVV,,UUUU,SWVL,NTES,RCMT,,REGN,SCLX,HL,THG,,,,,NMRK,AVB,RGR,ALLY,EAT,TCBX,MRVL,,,W,,SIM,DGII,,,,HTLD,ALG,GWRS,MSM,GSAT
BOC,TDY,VFF,FLX,ULCC,,,SHOO,CRI,HSAI,,IBG,BRFH,TECH,MDIA,JBI,,CNTY,,LITM,,HWKN,,,ASNS,LTRX,,NWPX,,AMBP,,EXLS,,,,ED,BDC,MEI,SXI,BHE,,,IRBT,IESC,QRHC,UWMC,AEXA,,,WBUY,,,BCPC,,MDU,PRPL,,GRBK,,ATAT,EPC,,PNR,MNTK,CDW,CRD.B,EQT,NEGG,VRSN,LPLA,TPG,DMLP,,BMO,CCOI,,BWLP,,,GEHC,CON,HLP,,BAH,,FSS,FUN,CNA,,DTM,TALO,,AESI,ATGE,,AUGO,BTOC,SNOW,HQI,,ALNY,LFVN,EQX,MTG,,,,,VTMX,IRM,JOUT,FHN,CAVA,NFBK,TEL,,,BJ,,SID,ARLO,,,,CVLG,CDLR,,BCC,LBRDA
