Industry,Total_Available,include_top,Top_Stocks
Chemicals/ Specialty,39,28,"LIN, ECL, APD, DOW, SQM, LYB, ALB, WLK, SOLS, NEU, EMN, CE, CBT, HWKN, MEOH, KWR, DQ, GEL, CC, MTX, LAC, ROG, PRLB, BAK, REX, TTI, ECVT, SCL"
Coal,11,8,"HCC, CNR, BTU, ARLP, AMR, NRP, METC, METCB"
Commercial Printing/Forms,13,10,"WMG, BZ, CMPO, CMPR, DLX, EBF, ANPA, QUAD, TZOO, LVO"
Computer Communications,14,10,"RDWR, ALLT, SMRT, GNSS, SILC, SPCB, MSAI, FIEE, DTSS, PCLA"
Computer Peripherals,21,15,"ANET, STX, WDC, SNDK, PSTG, NTAP, LOGI, EXTR, SSYS, ADTN, XRX, BLZE, IMMR, LTRX, QMCO"
Computer Processing Hardware,13,10,"SONY, DELL, HPE, SMCI, IONQ, ZBRA, RGTI, QBTS, NATL, BGIN"
Construction Materials,16,12,"CRH, VMC, MLM, AMRZ, CX, JHX, EXP, ACA, KNF, USLM, TTAM, LOMA"
Consumer Sundries,4,4,"CENT, CENTA, DOGZ, FMFC"
Containers/Packaging,21,15,"AMCR, SW, PKG, BALL, CCK, OC, ATR, SEE, GPK, SLGN, SON, GEF.B, GEF, AMBP, OI"
Contract Drilling,11,8,"SLB, BKR, NE, RIG, VAL, HP, PTEN, SDRL"
Data Processing Services,39,28,"MSCI, PAYX, VRSK, TYL, GDDY, J, IREN, AKAM, FDS, CIFR, DBX, APLD, GDS, EXLS, WULF, KD, CORZ, HUT, MARA, CLSK, ABTC, KC, JOYY, BTDR, VNET, DXC, CSGS, BITF"
Department Stores,6,5,"PDD, DDS, OLLI, M, KSS"
Discount Stores,3,3,"DG, DLTR, FIVE"
Drugstore Chains,2,2,"CVS, GRDN"
Electric Utilities,39,28,"NEE, CEG, SO, DUK, NGG, AEP, VST, D, XEL, EXC, ETR, PEG, WEC, ED, PCG, NRG, AEE, DTE, AXIA, AXIA/P, FE, PPL, FTS, CNP, ES, CMS, KEP, EIX"
Electrical Products,39,28,"GEV, ETN, AME, ROK, HUBB, LITE, APTV, AYI, RRX, GNRC, QS, SMR, ENS, BDC, EOSE, POWL, FLNC, ATKR, SEDG, ENVX, NNE, AMPX, AMSC, THR, MVST, SLDP, ALNT, BLDP"
Electronic Components,23,17,"APH, GLW, CLS, NVT, TTMI, CAMT, VICR, KN, BELFB, BELFA, RXST, VPG, LPTH, MEI, SENS, ESP, OPXS"
Electronic Equipment/Instruments,39,28,"EMR, KEYS, FTV, Q, NXT, NVMI, ONTO, CGNX, RAL, ESE, ST, ITRI, NOVT, SXI, MTRN, DBD, PAR, EVLV, BW, TRNS, USBC, UMAC, NVX, FCEL, VUZI, SLNH, INTT, LASE"
Electronic Production Equipment,28,20,"VRT, TER, BE, FLEX, SANM, AEIS, LFUS, OLED, LPL, PLXS, PLUG, VSH, VECO, BHE, PLAB, CTS, KE, AEHR, DVLT, AXTI"
Electronics Distributors,10,7,"SNX, ARW, REZI, AVT, SCSC, CLMB, AENT"
Electronics/Appliance Stores,4,4,"BBY, GME, PLBL, RERE"
Electronics/Appliances,22,16,"SN, WHR, SONO, IMAX, SPB, RR, OWLT, GPRO, TBCH, HBB, VIOT, COOK, YIBO, IRBT, ODYS, KOSS"
Engineering & Construction,39,28,"PWR, FER, OTIS, FIX, EME, MTZ, APG, ACM, BLD, STN, STRL, DY, TTEK, IESC, IBP, FLR, PRIM, ROAD, AGX, LGN, GVA, ECG, VSEC, EXPO, TPC, MYRG, BBUC, IHS"
Environmental Services,16,12,"WM, RSG, WCN, GFL, CLH, CWST, PCT, NVRI, YDDL, PESI, ALTS, ESGL"
Finance/Rental/Leasing,39,28,"V, MA, AXP, RKT, URI, SOFI, IX, SYF, AER, AFRM, KSPI, UHAL.B, UHAL, UWMC, FIGR, OMF, AL, PFSI, FCFS, OBDC, OTF, SLM, CACC, CAR, NNI, HRI, UPST, WSC"
Financial Conglomerates,39,28,"RPRX, BMNR, MAIN, KYIV, JCAP, IGIC, BCSF, CCCX, MTA, BEAG, CEPF, EVAC, BCSS, AEXA, TCPC, RMR, KRSP, FTW, AAM, GTEN, ANSC, MBVI, BCAR, KFII, APXT, NPAC, CCIX, GPAT"
Financial Publishing/Services,5,5,"SPGI, MCO, FICO, EFX, TRU"
Food Distributors,12,9,"SYY, USFD, CHEF, UNFI, DOLE, DNUT, WILC, AGCC, HFFG"
Food Retail,14,10,"KR, ACI, SFM, TBBB, WMK, IMKTA, GO, NGVC, ARKO, VLGEA"
Food/ Major Diversified,12,9,"KHC, GIS, CAG, CHA, SMPL, HLF, BYND, OTLY, BGS"
Food/ Meat/Fish/Dairy,9,7,"TSN, JBS, HRL, SFD, MAMA, LWAY, WYHG"
Food/ Specialty/Candy,39,28,"PEP, MDLZ, HSY, K, MKC, MKC.V, IFF, SJM, CPB, LW, INGR, DAR, POST, BCPC, MZTI, SXT, COCO, FRPT, TR, ASH, FLO, NOMD, JJSF, UTZ, THS, JBSS, SENEB, SENEA"
Forest Products,6,5,"LPX, UFPI, WFG, TREX, JELD"
Gas Distributors,21,15,"SRE, TRGP, ATO, CQP, NI, SWX, BKH, BIPC, SR, OGS, TGS, NJR, CSAN, MDU, CPK"
Home Furnishings,20,14,"SGI, LZB, ARHS, MBC, LEG, ETD, HELE, XWIN, FLXS, LOVE, BSET, HOFT, SNBR, PRPL"
Home Improvement Chains,7,5,"HD, LOW, BLDR, FND, ZKH"
Homebuilding,25,18,"DHI, LEN, LEN.B, PHM, NVR, TOL, TMHC, SKY, CVCO, KBH, FTDR, MHO, PATK, GRBK, TPH, CCS, DFH, LGIH"
Hospital/Nursing Management,13,10,"HCA, THC, UHS, CHE, PACS, BKD, SGRY, NHC, SEM, ARDT"
Hotels/Resorts/Cruise lines,25,18,"MAR, RCL, ABNB, HLT, CUK, CCL, VIK, IHG, H, HTHT, NCLH, RRR, WH, ATAT, MTN, TNL, CHH, MLCO"
Household/Personal Care,24,17,"PG, UL, CL, KMB, EL, KVUE, CHD, CLX, REYN, ELF, COTY, IPAR, ENR, EPC, OLPX, YSG, NUS"
Industrial Conglomerates,4,4,"MMM, RLX, HI, ISPR"
Industrial Machinery,39,28,"AMAT, LRCX, PH, TT, JCI, SYM, CARR, XYL, IR, DOV, VLTO, JBL, WWD, PNR, LII, OKLO, GGG, NDSN, LECO, IEX, ENTG, MKSI, WTS, GTLS, FLS, MOD, ZWS, AAON"
Industrial Specialties,18,13,"SHW, PPG, RPM, AXTA, CSW, AZZ, FUL, WDFC, OLN, UFPT, MATV, OPAL, ASPN"
Information Technology Services,39,28,"IBM, ACN, INFY, NET, FTNT, WDAY, CTSH, WIT, CRDO, BR, HPQ, SSNC, GIB, CDW, GWRE, CACI, RBRK, BSY, EPAM, PEGA, PSN, DOX, APPF, NICE, RIOT, WK, KBR, INGM"
Insurance Brokers/Services,20,14,"MMC, AON, AJG, WTW, BRO, RYAN, CRVL, NP, GSHD, TWFG, ROOT, WDH, CRD.A, CRD.B"
Integrated Oil,39,28,"XOM, CVX, SHEL, TTE, BP, PBR, PBR.A, CNQ, EOG, EQNR, SU, IMO, OXY, EQT, CVE, EXE, DVN, EC, CTRA, YPF, PR, OVV, APA, NFG, HESM, CHRD, MTDR, CRC"
Internet Retail,37,26,"AMZN, BABA, MELI, SE, CPNG, JD, EBAY, CHWY, VIPS, GLBE, ETSY, RVLV, REAL, NEGG, LUXE, GIC, WOOF, TDUP, LQDT, AHG, GRPN, BBBY, FLWS, DIBS, BZUN, AKA"
Internet Software/Services,39,28,"GOOGL, GOOG, META, NFLX, SPOT, TRI, MSTR, BIDU, RDDT, FWONA, FWONK, CSGP, TME, VRSN, CHKP, RBA, ZG, Z, PINS, IT, MTCH, LLYVK, LLYVA, MMYT, STUB, CARG, ARX, BRZE"
Investment Banks/Brokers,39,28,"GS, SCHW, HOOD, IBKR, CME, ICE, BCS, BK, COIN, DB, NDAQ, AMP, STT, LPLA, CBOE, TW, FUTU, NMR, HLI, EVR, JEF, GLXY, XP, PJT, FRHC, MKTX, PIPR, VIRT"
